Source,Target,Weight_s1,Weight_s2,Weight_s3,Total_Weight
AMORY,POLLIVER,0.0,3.0,0.0,3.0
AMORY,TYWIN,0.0,14.0,0.0,14.0
AMORY,YOREN,0.0,8.0,0.0,8.0
ANGUY,ARYA,0.0,0.0,26.0,26.0
ANGUY,BERIC,0.0,0.0,11.0,11.0
ANGUY,GENDRY,0.0,0.0,11.0,11.0
ANGUY,HOT_PIE,0.0,0.0,2.0,2.0
ANGUY,HOUND,0.0,0.0,20.0,20.0
ANGUY,MELISANDRE,0.0,0.0,3.0,3.0
ANGUY,THOROS,0.0,0.0,20.0,20.0
ARYA,BAELOR,5.0,0.0,0.0,5.0
ARYA,BERIC,0.0,0.0,33.0,33.0
ARYA,BITER,0.0,8.0,0.0,8.0
ARYA,BRAN,5.0,0.0,0.0,5.0
ARYA,CATELYN,7.0,5.0,2.0,14.0
ARYA,CERSEI,9.0,7.0,4.0,20.0
ARYA,GENDRY,7.0,78.0,45.0,130.0
ARYA,HOT_PIE,5.0,43.0,15.0,63.0
ARYA,HOUND,7.0,3.0,79.0,89.0
ARYA,ILLYRIO,2.0,0.0,0.0,2.0
ARYA,ILYN_PAYNE,4.0,0.0,2.0,6.0
ARYA,JAIME,3.0,0.0,0.0,3.0
ARYA,JAQEN,0.0,113.0,0.0,113.0
ARYA,JOFFREY,24.0,5.0,4.0,33.0
ARYA,JON,20.0,0.0,0.0,20.0
ARYA,JORY_CASSEL,7.0,0.0,0.0,7.0
ARYA,KEVAN,0.0,2.0,0.0,2.0
ARYA,LITTLEFINGER,5.0,8.0,0.0,13.0
ARYA,LOMMY,0.0,6.0,0.0,6.0
ARYA,LOMMY_GREENHANDS,2.0,0.0,0.0,2.0
ARYA,MELISANDRE,0.0,0.0,5.0,5.0
ARYA,MERYN_TRANT,5.0,0.0,2.0,7.0
ARYA,MOUNTAIN,0.0,6.0,0.0,6.0
ARYA,MYCAH,5.0,0.0,2.0,7.0
ARYA,NED,90.0,4.0,0.0,94.0
ARYA,POLLIVER,0.0,7.0,0.0,7.0
ARYA,PYCELLE,3.0,0.0,0.0,3.0
ARYA,REGINALD,0.0,2.0,0.0,2.0
ARYA,RHAENYS,0.0,2.0,0.0,2.0
ARYA,ROBB,6.0,7.0,2.0,15.0
ARYA,ROBERT,10.0,0.0,0.0,10.0
ARYA,ROOSE_BOLTON,0.0,0.0,2.0,2.0
ARYA,RORGE,0.0,16.0,0.0,16.0
ARYA,SANSA,53.0,6.0,2.0,61.0
ARYA,SEPTA_MORDANE,11.0,0.0,0.0,11.0
ARYA,STABLE_BOY,7.0,0.0,0.0,7.0
ARYA,SYRIO_FOREL,44.0,2.0,0.0,46.0
ARYA,THOROS,0.0,0.0,63.0,63.0
ARYA,TICKLER,0.0,5.0,0.0,5.0
ARYA,TYRION,2.0,2.0,0.0,4.0
ARYA,TYWIN,0.0,103.0,0.0,103.0
ARYA,VARYS,7.0,0.0,0.0,7.0
ARYA,VISENYA,0.0,3.0,0.0,3.0
ARYA,YOREN,18.0,20.0,0.0,38.0
ASSASSIN,BRAN,2.0,0.0,0.0,2.0
ASSASSIN,CATELYN,3.0,0.0,0.0,3.0
ASSASSIN,ROBB,2.0,0.0,0.0,2.0
BAELOR,CERSEI,2.0,0.0,0.0,2.0
BAELOR,HOUND,2.0,0.0,0.0,2.0
BAELOR,ILYN_PAYNE,3.0,0.0,0.0,3.0
BAELOR,JOFFREY,2.0,0.0,0.0,2.0
BAELOR,NED,8.0,0.0,0.0,8.0
BAELOR,PYCELLE,2.0,0.0,0.0,2.0
BAELOR,SANSA,2.0,0.0,0.0,2.0
BAELOR,YOREN,4.0,0.0,0.0,4.0
BALERION,DAVOS,0.0,0.0,2.0,2.0
BALON,CATELYN,0.0,2.0,0.0,2.0
BALON,NED,0.0,5.0,0.0,5.0
BALON,RAMSAY,0.0,0.0,4.0,4.0
BALON,ROBB,0.0,8.0,2.0,10.0
BALON,ROOSE_BOLTON,0.0,0.0,2.0,2.0
BALON,THEON,3.0,59.0,12.0,74.0
BALON,TYRION,2.0,0.0,0.0,2.0
BALON,YARA,0.0,15.0,11.0,26.0
BARRA,JANOS,0.0,2.0,0.0,2.0
BARRA,MHAEGEN,0.0,4.0,0.0,4.0
BARRISTAN,CERSEI,13.0,0.0,0.0,13.0
BARRISTAN,DAARIO,0.0,0.0,6.0,6.0
BARRISTAN,DAENERYS,0.0,0.0,37.0,37.0
BARRISTAN,GREY_WORM,0.0,0.0,5.0,5.0
BARRISTAN,JAIME,4.0,0.0,0.0,4.0
BARRISTAN,JOFFREY,5.0,0.0,0.0,5.0
BARRISTAN,JORAH,0.0,0.0,57.0,57.0
BARRISTAN,KRAZNYS_MO_NAKLOZ,0.0,0.0,2.0,2.0
BARRISTAN,LANCEL,3.0,0.0,0.0,3.0
BARRISTAN,LITTLEFINGER,4.0,0.0,0.0,4.0
BARRISTAN,MISSANDEI,0.0,0.0,7.0,7.0
BARRISTAN,NED,25.0,0.0,0.0,25.0
BARRISTAN,PYCELLE,4.0,0.0,0.0,4.0
BARRISTAN,RADZAI_MO_ERAZ,0.0,0.0,2.0,2.0
BARRISTAN,RENLY,3.0,0.0,0.0,3.0
BARRISTAN,ROBERT,22.0,0.0,5.0,27.0
BARRISTAN,VARYS,6.0,0.0,0.0,6.0
BENJEN,CATELYN,2.0,0.0,0.0,2.0
BENJEN,CERSEI,2.0,0.0,0.0,2.0
BENJEN,CRASTER,0.0,2.0,0.0,2.0
BENJEN,JEOR,2.0,0.0,0.0,2.0
BENJEN,JON,33.0,0.0,0.0,33.0
BENJEN,NED,14.0,0.0,0.0,14.0
BENJEN,ROBB,5.0,0.0,0.0,5.0
BENJEN,ROBERT,2.0,0.0,0.0,2.0
BENJEN,TYRION,17.0,0.0,0.0,17.0
BENJEN,YOREN,5.0,0.0,0.0,5.0
BERIC,GENDRY,0.0,0.0,7.0,7.0
BERIC,HOUND,0.0,0.0,25.0,25.0
BERIC,MELISANDRE,0.0,0.0,6.0,6.0
BERIC,MOUNTAIN,0.0,0.0,3.0,3.0
BERIC,NED,3.0,0.0,3.0,6.0
BERIC,ROBERT,2.0,0.0,0.0,2.0
BERIC,THOROS,0.0,0.0,28.0,28.0
BERT,SHIREEN,0.0,0.0,2.0,2.0
BILLY,RICKON,0.0,2.0,0.0,2.0
BITER,JAQEN,0.0,5.0,0.0,5.0
BITER,RORGE,0.0,8.0,0.0,8.0
BITER,YOREN,0.0,2.0,0.0,2.0
BLACK_LORREN,DAGMER,0.0,7.0,0.0,7.0
BLACK_LORREN,MAESTER_LUWIN,0.0,2.0,0.0,2.0
BLACK_LORREN,OSHA,0.0,2.0,0.0,2.0
BLACK_LORREN,RODRIK,0.0,3.0,0.0,3.0
BLACK_LORREN,THEON,0.0,21.0,0.0,21.0
BLACK_WALDER,BRYNDEN,0.0,0.0,3.0,3.0
BLACK_WALDER,CATELYN,0.0,0.0,3.0,3.0
BLACK_WALDER,EDMURE,0.0,0.0,5.0,5.0
BLACK_WALDER,JOYEUSE,0.0,0.0,2.0,2.0
BLACK_WALDER,LOTHAR,0.0,0.0,5.0,5.0
BLACK_WALDER,ROBB,0.0,0.0,8.0,8.0
BORCAS,DAREON,2.0,0.0,0.0,2.0
BORCAS,PYP,2.0,0.0,0.0,2.0
BOROS,JOFFREY,0.0,2.0,0.0,2.0
BOROS,MERYN_TRANT,0.0,0.0,2.0,2.0
BOWEN_MARSH,DAREON,2.0,0.0,0.0,2.0
BOWEN_MARSH,PYP,2.0,0.0,0.0,2.0
BRAN,BRANDON_STARK,2.0,0.0,0.0,2.0
BRAN,CATELYN,28.0,2.0,14.0,44.0
BRAN,CERSEI,4.0,0.0,0.0,4.0
BRAN,DAGMER,0.0,6.0,0.0,6.0
BRAN,FARLEN,0.0,6.0,0.0,6.0
BRAN,FARMER,0.0,0.0,2.0,2.0
BRAN,GILLY,0.0,0.0,3.0,3.0
BRAN,HODOR,11.0,28.0,39.0,78.0
BRAN,HOUND,2.0,0.0,0.0,2.0
BRAN,JAIME,9.0,0.0,0.0,9.0
BRAN,JOFFREY,0.0,3.0,0.0,3.0
BRAN,JOJEN,0.0,0.0,65.0,65.0
BRAN,JON,19.0,0.0,8.0,27.0
BRAN,MAESTER_LUWIN,53.0,29.0,2.0,84.0
BRAN,MEERA,0.0,0.0,29.0,29.0
BRAN,NED,29.0,0.0,5.0,34.0
BRAN,OLD_NAN,9.0,0.0,0.0,9.0
BRAN,ORELL,0.0,0.0,4.0,4.0
BRAN,OSHA,29.0,56.0,68.0,153.0
BRAN,RICKON,14.0,32.0,26.0,72.0
BRAN,ROBB,48.0,7.0,4.0,59.0
BRAN,ROBERT,7.0,0.0,0.0,7.0
BRAN,RODRIK,5.0,18.0,0.0,23.0
BRAN,SAM,0.0,0.0,17.0,17.0
BRAN,SANSA,0.0,2.0,0.0,2.0
BRAN,THEON,26.0,47.0,2.0,75.0
BRAN,TORMUND,0.0,0.0,2.0,2.0
BRAN,TYRION,15.0,0.0,0.0,15.0
BRAN,WILL,3.0,0.0,0.0,3.0
BRAN,WINTERFELL_SHEPHERD,0.0,3.0,0.0,3.0
BRAN,YGRITTE,0.0,0.0,2.0,2.0
BRANDON_STARK,CATELYN,2.0,0.0,3.0,5.0
BRANDON_STARK,JOJEN,0.0,0.0,3.0,3.0
BRANDON_STARK,JON,2.0,0.0,0.0,2.0
BRANDON_STARK,NED,3.0,0.0,0.0,3.0
BRANDON_STARK,RICKARD_STARK,2.0,0.0,0.0,2.0
BRIENNE,CATELYN,0.0,54.0,6.0,60.0
BRIENNE,COLEN,0.0,2.0,0.0,2.0
BRIENNE,DAVOS,0.0,2.0,0.0,2.0
BRIENNE,JACKS,0.0,7.0,0.0,7.0
BRIENNE,JAIME,0.0,49.0,127.0,176.0
BRIENNE,LITTLEFINGER,0.0,2.0,0.0,2.0
BRIENNE,LOCKE,0.0,0.0,15.0,15.0
BRIENNE,LORAS,0.0,7.0,0.0,7.0
BRIENNE,MARGAERY,0.0,5.0,0.0,5.0
BRIENNE,MELISANDRE,0.0,2.0,0.0,2.0
BRIENNE,RENLY,0.0,31.0,0.0,31.0
BRIENNE,RICKARD_KARSTARK,0.0,2.0,0.0,2.0
BRIENNE,ROBB,0.0,5.0,0.0,5.0
BRIENNE,ROOSE_BOLTON,0.0,0.0,9.0,9.0
BRIENNE,SELWYN,0.0,0.0,3.0,3.0
BRIENNE,STANNIS,0.0,5.0,0.0,5.0
BRONN,CATELYN,7.0,0.0,0.0,7.0
BRONN,CERSEI,0.0,2.0,3.0,5.0
BRONN,HAYLENE,0.0,10.0,0.0,10.0
BRONN,HIGH_SEPTON,0.0,0.0,2.0,2.0
BRONN,HOUND,0.0,13.0,0.0,13.0
BRONN,JANOS,0.0,3.0,0.0,3.0
BRONN,JOFFREY,0.0,9.0,4.0,13.0
BRONN,KEVAN,2.0,0.0,0.0,2.0
BRONN,LANCEL,0.0,6.0,0.0,6.0
BRONN,LORAS,0.0,0.0,2.0,2.0
BRONN,LYSA,5.0,0.0,0.0,5.0
BRONN,MARGAERY,0.0,0.0,2.0,2.0
BRONN,MARILLION,2.0,0.0,0.0,2.0
BRONN,MERYN_TRANT,0.0,5.0,8.0,13.0
BRONN,MORD,3.0,0.0,0.0,3.0
BRONN,OLENNA,0.0,0.0,2.0,2.0
BRONN,PODRICK,0.0,3.0,20.0,23.0
BRONN,PYCELLE,0.0,6.0,2.0,8.0
BRONN,ROBIN,3.0,0.0,0.0,3.0
BRONN,RODRIK,6.0,0.0,0.0,6.0
BRONN,SANSA,0.0,4.0,3.0,7.0
BRONN,SHAE,11.0,2.0,2.0,15.0
BRONN,SHAGGA,5.0,0.0,0.0,5.0
BRONN,TARYN_MANT,0.0,0.0,2.0,2.0
BRONN,TIMETT,0.0,4.0,0.0,4.0
BRONN,TYRION,86.0,87.0,71.0,244.0
BRONN,TYWIN,5.0,3.0,2.0,10.0
BRONN,VARDIS_EGEN,4.0,0.0,0.0,4.0
BRONN,VARYS,0.0,11.0,0.0,11.0
BRYNDEN,CATELYN,0.0,0.0,27.0,27.0
BRYNDEN,EDMURE,0.0,0.0,18.0,18.0
BRYNDEN,HOSTER,0.0,0.0,2.0,2.0
BRYNDEN,LOTHAR,0.0,0.0,3.0,3.0
BRYNDEN,RICKARD_KARSTARK,0.0,0.0,5.0,5.0
BRYNDEN,ROBB,0.0,0.0,17.0,17.0
BRYNDEN,ROOSE_BOLTON,0.0,0.0,8.0,8.0
BRYNDEN,ROSLIN,0.0,0.0,2.0,2.0
BRYNDEN,TALISA,0.0,0.0,8.0,8.0
BRYNDEN,WALDER,0.0,0.0,6.0,6.0
CAPTAINS_DAUGHTER,THEON,0.0,17.0,0.0,17.0
CATELYN,CERSEI,22.0,0.0,0.0,22.0
CATELYN,COLEN,0.0,4.0,0.0,4.0
CATELYN,DAENERYS,2.0,0.0,0.0,2.0
CATELYN,DAVOS,0.0,2.0,0.0,2.0
CATELYN,EDMURE,0.0,0.0,15.0,15.0
CATELYN,GREATJON_UMBER,11.0,0.0,0.0,11.0
CATELYN,HOSTER,3.0,0.0,7.0,10.0
CATELYN,HOUND,2.0,0.0,2.0,4.0
CATELYN,JACKS,0.0,8.0,0.0,8.0
CATELYN,JAIME,28.0,25.0,8.0,61.0
CATELYN,JOFFREY,3.0,3.0,0.0,6.0
CATELYN,JON,14.0,0.0,2.0,16.0
CATELYN,JON_ARRYN,4.0,0.0,0.0,4.0
CATELYN,JOYEUSE,0.0,0.0,6.0,6.0
CATELYN,LITTLEFINGER,26.0,24.0,0.0,50.0
CATELYN,LORAS,0.0,9.0,0.0,9.0
CATELYN,LOTHAR,0.0,0.0,2.0,2.0
CATELYN,LYSA,30.0,0.0,0.0,30.0
CATELYN,MAESTER_LUWIN,26.0,0.0,0.0,26.0
CATELYN,MARGAERY,0.0,5.0,0.0,5.0
CATELYN,MARILLION,4.0,0.0,0.0,4.0
CATELYN,MASHA_HEDDLE,3.0,0.0,0.0,3.0
CATELYN,MELISANDRE,0.0,2.0,0.0,2.0
CATELYN,MORD,5.0,0.0,0.0,5.0
CATELYN,NED,69.0,8.0,0.0,77.0
CATELYN,RENLY,0.0,30.0,0.0,30.0
CATELYN,RICKARD_KARSTARK,0.0,17.0,5.0,22.0
CATELYN,RICKON,0.0,2.0,2.0,4.0
CATELYN,ROBB,90.0,82.0,52.0,224.0
CATELYN,ROBERT,15.0,0.0,0.0,15.0
CATELYN,ROBIN,10.0,0.0,0.0,10.0
CATELYN,RODRIK,28.0,0.0,0.0,28.0
CATELYN,ROOSE_BOLTON,0.0,4.0,13.0,17.0
CATELYN,ROSLIN,0.0,0.0,4.0,4.0
CATELYN,SANSA,14.0,6.0,0.0,20.0
CATELYN,STANNIS,0.0,13.0,0.0,13.0
CATELYN,STEVRON_FREY,2.0,0.0,0.0,2.0
CATELYN,TALISA,0.0,11.0,33.0,44.0
CATELYN,THEON,16.0,0.0,0.0,16.0
CATELYN,TYRION,41.0,5.0,3.0,49.0
CATELYN,TYWIN,4.0,0.0,2.0,6.0
CATELYN,VARDIS_EGEN,13.0,0.0,0.0,13.0
CATELYN,VARYS,11.0,0.0,0.0,11.0
CATELYN,WALDER,34.0,0.0,19.0,53.0
CATELYN,YOREN,3.0,0.0,0.0,3.0
CERSEI,DAVOS,0.0,2.0,0.0,2.0
CERSEI,HAYLENE,0.0,2.0,0.0,2.0
CERSEI,HIGH_SEPTON,0.0,0.0,2.0,2.0
CERSEI,HOUND,4.0,6.0,2.0,12.0
CERSEI,ILYN_PAYNE,3.0,3.0,2.0,8.0
CERSEI,JAIME,46.0,13.0,10.0,69.0
CERSEI,JANOS,0.0,11.0,0.0,11.0
CERSEI,JEOR,2.0,0.0,0.0,2.0
CERSEI,JOANNA,0.0,2.0,0.0,2.0
CERSEI,JOFFREY,54.0,50.0,54.0,158.0
CERSEI,JON,3.0,0.0,0.0,3.0
CERSEI,JON_ARRYN,3.0,0.0,0.0,3.0
CERSEI,LANCEL,3.0,24.0,0.0,27.0
CERSEI,LITTLEFINGER,8.0,27.0,16.0,51.0
CERSEI,LORAS,0.0,5.0,15.0,20.0
CERSEI,LYANNA,2.0,0.0,0.0,2.0
CERSEI,MANDON,0.0,3.0,0.0,3.0
CERSEI,MARGAERY,0.0,0.0,33.0,33.0
CERSEI,MATTHOS,0.0,2.0,0.0,2.0
CERSEI,MERYN_TRANT,2.0,3.0,10.0,15.0
CERSEI,MYRCELLA,0.0,12.0,0.0,12.0
CERSEI,NED,86.0,6.0,0.0,92.0
CERSEI,OLENNA,0.0,0.0,24.0,24.0
CERSEI,PODRICK,0.0,4.0,2.0,6.0
CERSEI,PYCELLE,9.0,17.0,7.0,33.0
CERSEI,RENLY,3.0,0.0,0.0,3.0
CERSEI,ROBB,8.0,4.0,0.0,12.0
CERSEI,ROBERT,80.0,6.0,0.0,86.0
CERSEI,ROS,2.0,0.0,0.0,2.0
CERSEI,SALLADHOR,0.0,2.0,0.0,2.0
CERSEI,SANSA,36.0,73.0,7.0,116.0
CERSEI,SHAE,0.0,21.0,0.0,21.0
CERSEI,STANNIS,2.0,5.0,2.0,9.0
CERSEI,TARYN_MANT,0.0,0.0,4.0,4.0
CERSEI,TOMMEN,0.0,25.0,0.0,25.0
CERSEI,TYRION,18.0,177.0,95.0,290.0
CERSEI,TYWIN,3.0,15.0,57.0,75.0
CERSEI,VARYS,13.0,11.0,5.0,29.0
CERSEI,YOREN,2.0,0.0,0.0,2.0
COHOLLO,DROGO,3.0,0.0,0.0,3.0
COLEN,LORAS,0.0,2.0,0.0,2.0
COLEN,MARGAERY,0.0,2.0,0.0,2.0
COLEN,RENLY,0.0,2.0,0.0,2.0
CRASTER,EDDISON_TOLLETT,0.0,3.0,2.0,5.0
CRASTER,GILLY,0.0,6.0,0.0,6.0
CRASTER,GRENN,0.0,0.0,3.0,3.0
CRASTER,JEOR,0.0,29.0,17.0,46.0
CRASTER,JON,0.0,17.0,2.0,19.0
CRASTER,KARL_TANNER,0.0,0.0,13.0,13.0
CRASTER,MANCE,0.0,2.0,0.0,2.0
CRASTER,RAST,0.0,0.0,8.0,8.0
CRASTER,SAM,0.0,5.0,5.0,10.0
CRESSEN,DAVOS,0.0,16.0,0.0,16.0
CRESSEN,MATTHOS,0.0,2.0,0.0,2.0
CRESSEN,MELISANDRE,0.0,10.0,0.0,10.0
CRESSEN,STANNIS,0.0,5.0,0.0,5.0
DAARIO,DAENERYS,0.0,0.0,36.0,36.0
DAARIO,GREY_WORM,0.0,0.0,6.0,6.0
DAARIO,JORAH,0.0,0.0,17.0,17.0
DAARIO,MERO,0.0,0.0,17.0,17.0
DAARIO,MISSANDEI,0.0,0.0,7.0,7.0
DAARIO,PRENDAHL,0.0,0.0,7.0,7.0
DAENERYS,DOREAH,34.0,20.0,0.0,54.0
DAENERYS,DROGO,91.0,10.0,2.0,103.0
DAENERYS,GREIZHEN,0.0,0.0,3.0,3.0
DAENERYS,GREY_WORM,0.0,0.0,12.0,12.0
DAENERYS,ILLYRIO,10.0,0.0,0.0,10.0
DAENERYS,IRRI,32.0,15.0,0.0,47.0
DAENERYS,JHIQUI,2.0,0.0,0.0,2.0
DAENERYS,JORAH,154.0,119.0,69.0,342.0
DAENERYS,KOVARRO,0.0,31.0,0.0,31.0
DAENERYS,KRAZNYS_MO_NAKLOZ,0.0,0.0,23.0,23.0
DAENERYS,MAGO,8.0,0.0,0.0,8.0
DAENERYS,MALAKKO,0.0,3.0,0.0,3.0
DAENERYS,MERO,0.0,0.0,16.0,16.0
DAENERYS,MIRRI_MAZ_DUUR,45.0,0.0,0.0,45.0
DAENERYS,MISSANDEI,0.0,0.0,67.0,67.0
DAENERYS,NED,3.0,0.0,0.0,3.0
DAENERYS,PRENDAHL,0.0,0.0,8.0,8.0
DAENERYS,PYATT_PREE,0.0,23.0,0.0,23.0
DAENERYS,QOTHO,28.0,0.0,0.0,28.0
DAENERYS,QUAITHE,0.0,4.0,0.0,4.0
DAENERYS,RADZAI_MO_ERAZ,0.0,0.0,19.0,19.0
DAENERYS,RAKHARO,17.0,12.0,0.0,29.0
DAENERYS,RHAEGO,13.0,4.0,0.0,17.0
DAENERYS,ROBERT,5.0,0.0,2.0,7.0
DAENERYS,SANSA,2.0,0.0,0.0,2.0
DAENERYS,SILK_KING,0.0,4.0,0.0,4.0
DAENERYS,SPICE_KING,0.0,58.0,0.0,58.0
DAENERYS,VARYS,4.0,0.0,0.0,4.0
DAENERYS,VISERYS,66.0,0.0,0.0,66.0
DAENERYS,WINE_MERCHANT,19.0,0.0,0.0,19.0
DAENERYS,XARO,0.0,80.0,0.0,80.0
DAGMER,FARLEN,0.0,2.0,0.0,2.0
DAGMER,HODOR,0.0,2.0,0.0,2.0
DAGMER,MAESTER_LUWIN,0.0,5.0,0.0,5.0
DAGMER,OSHA,0.0,3.0,0.0,3.0
DAGMER,RICKON,0.0,4.0,0.0,4.0
DAGMER,RODRIK,0.0,3.0,0.0,3.0
DAGMER,THEON,0.0,48.0,0.0,48.0
DAGMER,YARA,0.0,2.0,0.0,2.0
DAISY,JOFFREY,0.0,7.0,0.0,7.0
DAISY,ROS,0.0,17.0,0.0,17.0
DAREON,GRENN,2.0,0.0,0.0,2.0
DAREON,HOBB,0.0,0.0,2.0,2.0
DAREON,JEOR,2.0,0.0,0.0,2.0
DAREON,JON,4.0,0.0,0.0,4.0
DAREON,LUKE,2.0,0.0,0.0,2.0
DAREON,MAESTER_AEMON,2.0,0.0,0.0,2.0
DAREON,PYP,8.0,0.0,0.0,8.0
DAREON,RAST,2.0,0.0,0.0,2.0
DAREON,SAM,4.0,0.0,2.0,6.0
DAVOS,FATHER_SEAWORTH,0.0,2.0,0.0,2.0
DAVOS,GENDRY,0.0,0.0,50.0,50.0
DAVOS,JOFFREY,0.0,2.0,0.0,2.0
DAVOS,LORAS,0.0,2.0,0.0,2.0
DAVOS,MARYA,0.0,2.0,0.0,2.0
DAVOS,MATTHOS,0.0,57.0,2.0,59.0
DAVOS,MELISANDRE,0.0,40.0,33.0,73.0
DAVOS,RENLY,0.0,12.0,0.0,12.0
DAVOS,ROBB,0.0,2.0,2.0,4.0
DAVOS,ROBERT,0.0,2.0,0.0,2.0
DAVOS,RYLENE,0.0,0.0,2.0,2.0
DAVOS,SALLADHOR,0.0,27.0,28.0,55.0
DAVOS,SHIREEN,0.0,0.0,38.0,38.0
DAVOS,STANNIS,0.0,111.0,77.0,188.0
DESMOND,ELDRICK,0.0,0.0,2.0,2.0
DESMOND,SANSA,0.0,0.0,2.0,2.0
DESMOND,TYRION,0.0,0.0,2.0,2.0
DONTOS,JOFFREY,0.0,13.0,0.0,13.0
DONTOS,MERYN_TRANT,0.0,4.0,0.0,4.0
DONTOS,SANSA,0.0,2.0,0.0,2.0
DOREAH,DROGO,3.0,0.0,0.0,3.0
DOREAH,IROGENIA,2.0,0.0,0.0,2.0
DOREAH,IRRI,5.0,4.0,0.0,9.0
DOREAH,JHIQUI,2.0,0.0,0.0,2.0
DOREAH,JORAH,2.0,7.0,0.0,9.0
DOREAH,KOVARRO,0.0,4.0,0.0,4.0
DOREAH,VISERYS,30.0,0.0,0.0,30.0
DOREAH,WINE_MERCHANT,3.0,0.0,0.0,3.0
DOREAH,XARO,0.0,13.0,0.0,13.0
DROGO,ILLYRIO,6.0,0.0,0.0,6.0
DROGO,IRRI,2.0,0.0,0.0,2.0
DROGO,JORAH,20.0,0.0,0.0,20.0
DROGO,MAGO,10.0,0.0,0.0,10.0
DROGO,MIRRI_MAZ_DUUR,9.0,0.0,0.0,9.0
DROGO,QOTHO,6.0,0.0,0.0,6.0
DROGO,RAKHARO,5.0,0.0,0.0,5.0
DROGO,RHAEGO,6.0,3.0,0.0,9.0
DROGO,ROBERT,2.0,0.0,0.0,2.0
DROGO,VISERYS,27.0,0.0,0.0,27.0
DROWNED_PRIEST,THEON,0.0,5.0,0.0,5.0
EDDISON_TOLLETT,GILLY,0.0,4.0,0.0,4.0
EDDISON_TOLLETT,GRENN,0.0,27.0,12.0,39.0
EDDISON_TOLLETT,JEOR,0.0,2.0,6.0,8.0
EDDISON_TOLLETT,JON,0.0,8.0,0.0,8.0
EDDISON_TOLLETT,KARL_TANNER,0.0,0.0,2.0,2.0
EDDISON_TOLLETT,RAST,0.0,0.0,11.0,11.0
EDDISON_TOLLETT,SAM,0.0,34.0,8.0,42.0
EDMURE,FREY_SEPTON,0.0,0.0,4.0,4.0
EDMURE,HOUND,0.0,0.0,2.0,2.0
EDMURE,JOYEUSE,0.0,0.0,2.0,2.0
EDMURE,LOTHAR,0.0,0.0,7.0,7.0
EDMURE,MOUNTAIN,0.0,0.0,2.0,2.0
EDMURE,RICKARD_KARSTARK,0.0,0.0,4.0,4.0
EDMURE,ROBB,0.0,0.0,46.0,46.0
EDMURE,ROOSE_BOLTON,0.0,0.0,3.0,3.0
EDMURE,ROSLIN,0.0,0.0,12.0,12.0
EDMURE,TALISA,0.0,0.0,8.0,8.0
EDMURE,TYWIN,0.0,0.0,2.0,2.0
EDMURE,WALDER,0.0,0.0,10.0,10.0
FARLEN,RICKON,0.0,2.0,0.0,2.0
FARLEN,THEON,0.0,3.0,0.0,3.0
FARMER,HODOR,0.0,0.0,2.0,2.0
FARMER,JOJEN,0.0,0.0,3.0,3.0
